PAC	2005	10012
ANT	1000	20102
RAS	0599	20121
MAR	0200	12010
Default	1	28/1995
default	0	27/11/2017
default	0	27/11/2017
default	2	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	0	27/11/2017
default	2	27/11/2017
default	3	27/11/2017
default	5	27/11/2017
default	3	27/11/2017
default	8	27/11/2017
default	4	28/11/2017
default	0	28/11/2017
default	0	28/11/2017
default	0	28/11/2017
default	0	28/11/2017
default	0	28/11/2017
